Feedback Received Date,Feedback Description,User's Quote,Rating,URLs,Extension,Source,Focus Area,Shared to Airtable by
"January 26, 2023",Great help,Great support from the team!,5,https://wordpress.org/support/topic/great-help-230/,WooCommerce,.org Product Review,TBD,.org review harvester
"January 26, 2023",Awesome advice!,"Awesome support for php!!!
Thanks !!!
	
		This topic was modified 3 months, 3 weeks ago by coinlegend.",5,https://wordpress.org/support/topic/awesome-support-for-php/,WooCommerce,.org Product Review,TBD,.org review harvester
"January 25, 2023",Super helpfull,Great support and easy to follow instructions.Much appreciated.,5,https://wordpress.org/support/topic/super-helpfull-3/,WooCommerce,.org Product Review,TBD,.org review harvester
"January 24, 2023",Super convenient!,"Super convenient!
	
		This topic was modified 9 months, 3 weeks ago by paddpeam.",5,https://wordpress.org/support/topic/super-convenient-13/,WooCommerce,.org Product Review,TBD,.org review harvester
"January 19, 2023",Woocommerce Plugging Support,"I am very satisfied with the woocoomerce plugin support.
My problem was solved very fast and just the way I was expecting.
xue28 (woo-hc) solved the issue in an accurate way and I am very happy about that.
I don’t have other words than Thanks!",5,https://wordpress.org/support/topic/woocommerce-plugging-support/,WooCommerce,.org Product Review,TBD,.org review harvester
"January 18, 2023",Game Changer – Perfect,I came over to WooCOmmerce from MarketPress. Wow. This is a gam-changer. Thank you team for an amzing product. Worked first-time as soon as we went live.,5,https://wordpress.org/support/topic/game-changer-perfect/,WooCommerce,.org Product Review,TBD,.org review harvester
"January 18, 2023",best ecommerce plugin,"it is the best plugin without doubth. Because is free.but if you need some aditional servicies or editing you will have to search a lot or pay a lot.the templates are not easy to edit and there are lot of things that it needs to be complete. in my case I am completementing it with lot of plugins and is no so good.
Also it would be easier if the templates can we edited, at least how it looks.",5,https://wordpress.org/support/topic/best-ecommerce-plugin-24/,WooCommerce,.org Product Review,TBD,.org review harvester
"January 16, 2023",Basis ist ok aber mehr auch nicht,"Aktuell scheint es mir  also ob WooCommerce die selbst erstellten .csv Dateien nicht richtig importiert. Ist für mich eigentlich Standard eine Datei die ausgeben wird kann auch ohne weiteres wieder eingeben werden. 
So habe ich nirgendwo die Option “Trennzeichen definieren” gefunden beim Export. Beim Import soll ich dagegen das Trennzeichen definieren…
Tabulator, wie exportiert funktioniert scheinbar nicht. 
Entweder ich bin blind, blöd oder das ist ein Ei, dass die Entwickler auf Kosten der Nutzer selbst gelegt haben. Auf jeden Fall ist das nicht selbsterklärend. 
Das ist nie ein gutes Zeiten für eine Entwicklung, wenn Systeme, die für Nutzer erstellt werden lange Erklärungen brauchen, nicht logisch funktionieren oder Work-arounds benötigen.",4,https://wordpress.org/support/topic/basis-ist-ok-aber-mehr-auch-nicht/,WooCommerce,.org Product Review,TBD,.org review harvester
"January 13, 2023",Best plugin for wordpress,its help a lot to sell like pro,5,https://wordpress.org/support/topic/best-plugin-for-wordpress-19/,WooCommerce,.org Product Review,TBD,.org review harvester
"January 10, 2023",Great plugin,This is really nice shop plugin. I’m really happy to use it on every my project.,5,https://wordpress.org/support/topic/great-plugin-35910/,WooCommerce,.org Product Review,TBD,.org review harvester
"January 9, 2023",goood,very good,5,https://wordpress.org/support/topic/goood-69/,WooCommerce,.org Product Review,TBD,.org review harvester
"January 3, 2023",Nice Support,"Thanks for the woo team for its valuable support on issue…
My Best 
Anwer",5,https://wordpress.org/support/topic/nice-support-96/,WooCommerce,.org Product Review,TBD,.org review harvester
"January 3, 2023",Good support,Good support,5,https://wordpress.org/support/topic/good-support-586/,WooCommerce,.org Product Review,TBD,.org review harvester
"January 3, 2023",Excellent support! After version update Database errors,"I experienced database errors after updating WooCommerce to Version 7.2.2. The WooCommerce team identified the issue and solved my problem, I have the free version, and got excellent support!
	
		This topic was modified 10 months, 2 weeks ago by naomibuch.",5,https://wordpress.org/support/topic/excellent-support-1874/,WooCommerce,.org Product Review,TBD,.org review harvester
"February 7, 2023",Updating Woocommerce Database: Pay Attention!,"For a 5+million installation plugin, I find very very strange that there’s no bulk update of database actions when the automatic update is not triggered.
I found other review/tickets on neverending database update process and on issues in doing it manually.
As is today, a no-tech users should clik “run” one action by one and with pending actions increasing instead of decreasing! In fact, in my case, they went from around 150 at the beginning of the update to 500+ after updating around 100 single actions. I’ve not finished the process and restored the backup.
Woocommerce team should really really put their hands once for all on the database update and optimize/simplify the process. 
RATING UPDATE from 1 to 4: the issued was caused by having Cloudflare Bot Fight Mode enabled. No issue on hosting side and no need to upgrade from shared hosting to managed hosting. Issue solved thanks to 
1) Woocommerce Support, also by suggesting this plugin https://wordpress.org/plugins/wp-crontrol/ who actually displayed error code (503) for Crons and then
2) Siteground Support.
	
		This topic was modified 9 months ago by seodance.
	
	
		This topic was modified 9 months ago by seodance.",4,https://wordpress.org/support/topic/updating-woocommerce-database-pay-attention/,WooCommerce,.org Product Review,TBD,.org review harvester
"December 27, 2022",Great plugin and great support,In 2 years I managed to create more than 5 websites with results that exceeded my expectations.Congratulations to everyone who contributes to this wonderful project,5,https://wordpress.org/support/topic/great-plugin-and-great-support-771/,WooCommerce,.org Product Review,TBD,.org review harvester
"December 27, 2022",The best ecommerce,"Woocommerce is the best ecommerce plugin, the support team really like to helpus.",5,https://wordpress.org/support/topic/the-best-ecommerce-2/,WooCommerce,.org Product Review,TBD,.org review harvester
"December 27, 2022",Ghost purchases,"Great and serious helping to solve the problem.  Thanks!!!
	
		This topic was modified 10 months, 3 weeks ago by Ruud.",5,https://wordpress.org/support/topic/1-at-the-builder-templates-the-edit-elementor-links-are-not-working-by-products/,WooCommerce,.org Product Review,TBD,.org review harvester
"December 22, 2022",Complemento ideal para nuestra tienda,"Gran complemento que da mucha funcionalidad a nuestra tienda.
Gracias",5,https://wordpress.org/support/topic/complemento-ideal-para-nuestra-tienda/,WooCommerce,.org Product Review,TBD,.org review harvester
"December 20, 2022",Satisfied,"Quit satisfied, very good base for my e-shop.",5,https://wordpress.org/support/topic/satisfied-115/,WooCommerce,.org Product Review,TBD,.org review harvester
"December 15, 2022",add state of Kosovo at the list of country/state,Even I made the request to add the state of Kosovo you didn do it:(,1,https://wordpress.org/support/topic/add-state-of-kosovo-at-the-list-of-country-state/,WooCommerce,.org Product Review,TBD,.org review harvester
"December 13, 2022",Fantastic,Does exactly do what it says on the tin. Great work!,5,https://wordpress.org/support/topic/fantastic-3125/,WooCommerce,.org Product Review,TBD,.org review harvester
"December 9, 2022",Great plugin,Thank you for your plugin,5,https://wordpress.org/support/topic/great-plugin-35704/,WooCommerce,.org Product Review,TBD,.org review harvester
"December 9, 2022",great,great but sometimes has bugs,5,https://wordpress.org/support/topic/great-15095/,WooCommerce,.org Product Review,TBD,.org review harvester
"December 7, 2022",Great plugin and great support,"Such a wonderful plugin for an e-commerce website!!! I so much recommend it. 
I have no code knowledge and set up of this plugin has been very easy and clear. And best of all, suppport is so good, they reply very soon and very clearly .  They helped me resolve every issue. 
Many thanks indeed
Liliana",5,https://wordpress.org/support/topic/great-plugin-and-great-support-768/,WooCommerce,.org Product Review,TBD,.org review harvester
"December 5, 2022",Nice e commerce plugin,"Excellent plugin for the e-commerce site, we have used this plugin for the last years, we recommend this is the best plugin for all the commerce website",5,https://wordpress.org/support/topic/nice-e-commerce-plugin/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 30, 2022",support,"i had some issue with upgrading my wp page to PHP 8.1 (site broke down).
I got some kind respond from guys trying to help me out!
Good to know that when you need help, there are persons who help you!",4,https://wordpress.org/support/topic/support-516/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 25, 2022",Top,"The support was perfect and fast, thx for it.",5,https://wordpress.org/support/topic/top-1421/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 25, 2022",WooCommerce = WordPress + eCommerce,"When it comes to eCommerce with WordPress, it is WooCommerce plugin that takes charge.
	
		This topic was modified 11 months, 3 weeks ago by Digital Splendid.",5,https://wordpress.org/support/topic/woocommerce-wordpress-ecommerce/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 25, 2022",Absolute awesome plugin,"Woocommerce is the top ecommerce plugin, we have worked with Shopify too. But the level of customization possible with Woocommerce is mind-blowing. We have customized it to use as an IT Field service management to create service workorder, custom order statuses to monitor progress, send invoice when issue is resolved and finally to mark it paid. Saved us months of work on reinventing the wheel. It’s one of the most stable plugins. We didn’t have any major issue in over 4 hours we have been using daily. We have also customized to use as PoS system for a client, works flawless. Much more to say, can’t recommend enough.",5,https://wordpress.org/support/topic/absolute-awesome-plugin/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 22, 2022",Best Eshop Platform Ever,"I have no problem with WooCommerce, very easy to setup my products and selling. The support team is very friendly and professional. It’s free and highly recommend!",5,https://wordpress.org/support/topic/best-eshop-platform-ever/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 16, 2022",Wonderful plugin,This is one of the best shops! Thank you so much!,5,https://wordpress.org/support/topic/wonderful-plugin-725/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 14, 2022","Over 10,000 Products & Counting!","10,000 + products is a ridiculous task to even begin at alone. If I were to add them one by one……it would take me at least a year…….. ft!
I reached out to woo support https : //wordpress.org/support/topic/best-way-to-add-10000-downloadable-products/ and was pointed in the right direction.
In the end, I used the CSV file solution and it works flawlessly. I now can add 250 + products at a time and do it all in under 10 minutes.
Love Woo and what it can Doo! 😉",5,https://wordpress.org/support/topic/over-10000-products-counting/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 14, 2022",bug,reports in analysis section and reports section are different.,5,https://wordpress.org/support/topic/bug-386/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 14, 2022",Error Activating WooCommerce Payments,Very helpful.,5,https://wordpress.org/support/topic/error-activating-woocommerce-payments-2/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 14, 2022",Best eshop platform,We use Woocommerce for our online shops and it’s been a breeze to sell online! Everything needed is already bundled… for free! Highly Recommended!,5,https://wordpress.org/support/topic/best-eshop-platform/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 14, 2022",Good,Good plugin,5,https://wordpress.org/support/topic/good-7629/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 9, 2022",good,good,5,https://wordpress.org/support/topic/good-7626/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 8, 2022",Good plugin for little shops,"Great for little to medium sized simple shops. Wouldn’t recommend for big or heavily structured shops (looking at the database structure as a developer gives me the shivers, there is basically no referential integrity at all, which is what you learn in computer science in the first semester of databases).
Plugin has very good support.
Many features you would expect from a modern online shop have to be included from plugins. That can be cumbersome and lead to problems after updates. We needed like 10 plugins just for a regular little shop with weight based flexible shipping and Paypal payment that wants to appear in Google shopping results. Stuff like flexible shipping and tax rates and common payment options shouldn’t be in plugins. But most of the time it works well and you have your backups in other cases.",4,https://wordpress.org/support/topic/good-plugin-for-little-shops/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 11, 2022",Analytics Error,Hi Woocommerce after we update Version 7.0.1 we got an weird display on the analytics -> Overview -> Custom (Dates) then Click the custom over the Presets and this is it. we did a test on our 3 websites and they are all desame. see the image ‘screencast.com/t/TvJ2T7ACmzT’,5,https://wordpress.org/support/topic/analytics-error-3/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 22, 2022",Perfect service,Perfect service,5,https://wordpress.org/support/topic/perfect-service-25/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 3, 2022","Reliable, good support","Reliable, good support",5,https://wordpress.org/support/topic/reliable-good-support/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 1, 2022",WooCommerceの決済機能,いろいろなプラグインと組み合わせてWooCommerceを利用しています。その最大に理由はWooCommerceの決済機能の利用のためです。　安定しており、信頼性も高いので安心して利用できます。,5,https://wordpress.org/support/topic/woocommerce%e3%81%ae%e6%b1%ba%e6%b8%88%e6%a9%9f%e8%83%bd/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 31, 2022",the paypal button under my add to cart is braking my template,"Hi, Can you please fix the issue on my product page. when I try to put the googlepay/applepay buttons under the add to cart it brakes my template and put it in a bad position . please help",5,https://wordpress.org/support/topic/the-paypal-button-under-my-add-to-cart-is-braking-my-template/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 31, 2022",Too difficult. Little support,"After using it for more than a week, I can understand why more and more people go to Shopify, specially for not experts with computing. The learning curve is too steep. To import variable product you have to learn Excel/CSV with lost of formulas or input in WooCommerce every product one by one. You cannot batch upload and fill the data unless you do it in CSV . 
So you need to be an expert in Excel too. Now if you have half a dozen products, and you are no expert in Excel it can work for you. You will change everything manually if you have sale prices etc. But even with the import plugins, you have to feed them with previously made excel/google sheets. Again, if you manually enter ok if you enter hundreds of products with variations, you better forget it unless you or someone is a master in Excel.",1,https://wordpress.org/support/topic/too-difficult-little-support/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 28, 2022",Good platform,I like the customization options. Some of the coding takes knowhow but there are many helpful sites for that. Best platform i have worked with.,5,https://wordpress.org/support/topic/good-platform-3/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 24, 2022",Awesome plugin,Great plugin with great features and support,5,https://wordpress.org/support/topic/awesome-plugin-6627/,WooCommerce,.org Product Review,TBD,.org review harvester
"November 25, 2022",Quick & Helpful Support from the Woo Forum,"Woocommerce is my go to Plugin for setting up Online Stores for clients but since I’m not a Developer, it can be tricky to setup some client customization’s. Only found out about the forum this week and was very impressed with the speedy reply to my query which immediately resolved my query. Love it; thank you guys 🙂",5,https://wordpress.org/support/topic/quick-helpful-support-from-the-woo-forum/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 20, 2022",Not fixing year old errors,"As stated in the title, particularly cron jobs and db updates that never ends in wp-admin.",1,https://wordpress.org/support/topic/not-fixing-year-old-errors/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 19, 2022",Use At Your Own Risk,"I am sick of WooCommerce breaking my site with every update. I’m in the habit of backing the whole thing up every single time — I have to be, because each time I do, I end up in Recovery Mode trying to fix what the plugin inevitably broke.
It might be the most popular commerce plugin available, and when it works it’s half-decent, but I’m not so sure it’s worth the constant hassle.",1,https://wordpress.org/support/topic/use-at-your-own-risk-9/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 18, 2022",Great plugin!,You can search the internet for any problem you’ll encounter and have dozens of available solutions.,5,https://wordpress.org/support/topic/great-plugin-35290/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 18, 2022",They are a great support team.,"They were quick and kind. Thank you.
	
		This topic was modified 1 year ago by sampei2727.",5,https://wordpress.org/support/topic/they-are-a-great-support-team/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 13, 2022",Free & powerful,Free & powerful,5,https://wordpress.org/support/topic/free-powerful/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 13, 2022",works like a charm,"best plugin for WP!
thanks!!",5,https://wordpress.org/support/topic/works-like-a-charm-2109/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 12, 2022",best ecommerce plugin,best plugin to sell online,5,https://wordpress.org/support/topic/best-ecommerce-plugin-23/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 11, 2022",great plugin,thank you,5,https://wordpress.org/support/topic/great-plugin-35233/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 11, 2022",Thank you for the support,Support is working and thanks for your help.,5,https://wordpress.org/support/topic/thank-you-for-the-support-8/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 6, 2022",All sorted,Got me fixed up in no time,5,https://wordpress.org/support/topic/all-sorted-2/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 4, 2022",Awesome Woocommerce,"Yes, It’s been great using woocommerce or wordpress ecommerce business.  It helped me a lot to make new ideas, and perfect combination doing different innovations.  Thank you so much for guidance and ecorrougement.  5 stars!",5,https://wordpress.org/support/topic/awesome-woocommerce/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 3, 2022",Pop-up spam banner !,"I’m going crazy !
Please stop the “Customize your deposit schedule” banner at the top of the dashboard (/wp-admin/admin.php?page=wc-admin).
It’s extremly annoying and we cannot even disable it via the customizer. Completely unnecessary!",1,https://wordpress.org/support/topic/pop-up-spam-banner/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 3, 2022",Soddisfacente,"Ho chiesto molte volte aiuto a questo forum, ed ho sempre ricevuto risposte precise esaurienti e quasi sempre risolutive. Ottimo servizio",5,https://wordpress.org/support/topic/soddisfacente/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 29, 2022",best plugin ever,this plugin is so reliable and good which you even dont need anything else in online shop,5,https://wordpress.org/support/topic/best-plugin-ever-433/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 30, 2022",Gran ayuda,"Tuve un problema con el plug in de woo-commerce y el soporte que me dieron, aunque no fue inmediato,  fue de gran ayuda para resolver el problema.
Gracias!",5,https://wordpress.org/support/topic/gran-ayuda-6/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 27, 2022",excelente ayuda,rapida y efectiva la respuesta,5,https://wordpress.org/support/topic/excelente-ayuda-5/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 27, 2022",Excellent support !,"Great plugin, easy to use and very powerfull. And furthermore, excellent, fast and friendly support even in the free version.",5,https://wordpress.org/support/topic/excellent-support-1816/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 24, 2022",fantastic support,thaks a lot for solving my problem.,5,https://wordpress.org/support/topic/fantastic-support-449/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 21, 2022",quick and encouraging,"Usually I solve the problems myself, but getting a little input can be useful.",4,https://wordpress.org/support/topic/quick-and-encouraging/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 21, 2022",Last update crashed a 12k traffic website,"I have been using WooComm for a few years and kept it updated to prevent issues. Last friday an update completely crashed my website and all systems that run on Woocommerce.
I will probably spend all afternoon trying to fix it 🙂",1,https://wordpress.org/support/topic/last-update-crashed-a-12k-traffic-website/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 18, 2022",Awesome plugin,Thank you for fast support and the plugin is great. Thanks a lot,5,https://wordpress.org/support/topic/awesome-plugin-6588/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 16, 2022",Customize your deposit schedule????,"Customize your deposit schedule? Big Infobox on top of admin pages!
What the heck is that? 
I do not use Woocommerce Payemnts, but after upgrading several stores, this Infobox on top of the admin pages appears!
How to get rid of that? why is that? It is so anoying.
I like woocommerce, but beeing in ecommerce for over 20 years now (started with oscommerce) there are some CRUCIAL shop functions still missing. List is to long to mention here, and it would not make sense as you do not listen to people anyway.
	
		This topic was modified 1 year, 1 month ago by idee.
	
	
		This topic was modified 1 year, 1 month ago by idee.",1,https://wordpress.org/support/topic/customize-your-deposit-schedule-3/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 16, 2022",Stop annoying banner in dashboard,"Please stop the “Customize your deposit schedule” banner at the top of the dashboard (/wp-admin/admin.php?page=wc-admin).
It’s extremly annoying and we cannot even disable it via the customizer. Completely unnecessary!",1,https://wordpress.org/support/topic/stop-annoying-banner-in-dashboard/,WooCommerce,.org Product Review,TBD,.org review harvester
"October 14, 2022",Apparently no testing before releases.,"To avoid any conflicts and problems, I built an ecommerce site using stock WP everything: No weird plugins, no fancy themes, no nothing. Yet, the last FOUR times this plugin has tried to update itself, it has succeeded only in crashing my entire site. (I stopped auto-updating, and undated the plugin manually, but with the same outcome: Total crash. The response to people who comment about the problem is always the same. “Manually replace the WooCommerce directory.” Cool, cool, cool. Super convenient. Thanks a lot. Foolishly, I assumed that, since WooCommerce was made by the same company as WP, I wouldn’t have these issues CONSTANTLY. But apparently, I was wrong. Do they not test these releases? I mean, come on, this is a real problem.",2,https://wordpress.org/support/topic/apparently-no-testing-before-releases/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 19, 2022",realistic price to value ratio,"Could be a great webshop base, but it is bloated with unnecessary stuff in core and misses a lot of features which should be basic for the time being.
After all these years on the market and millions of active users they sill release an update with ridiculos errors in it. Seems like ther was no testing before release.
Like in case of version 6.9.0 the messed up timezone handling. The WooCommerce core thinks it is set to UTC even when it is not the case. This makes post date/time messing up with every single edit.
Could be great, but this kind of silly bugs makes users feel like this is still an undependable free software.",3,https://wordpress.org/support/topic/realistic-price-to-value-ratio/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 19, 2022",Good plugin and good support,Very easy to use and many good features. And a very good support forum as well.,5,https://wordpress.org/support/topic/good-plugin-and-good-support-55/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 15, 2022",Quick Response & Great Support,Helped resolved my issue very quickly.,5,https://wordpress.org/support/topic/quick-response-great-support-2/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 11, 2022",Just awesome,Completely free and great support as well. What’s not to love?,5,https://wordpress.org/support/topic/just-awesome-323/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 8, 2022",Great Support & Quick Response,The support was so good and quickest to respond.,5,https://wordpress.org/support/topic/great-support-quick-response-6/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 7, 2022",Good Free Support,Consistent Communication to solve or determine issues.,5,https://wordpress.org/support/topic/good-free-support-2/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 5, 2022","Fin plugin,men","Fin plugin, men ved da ikke, hvilken dansker der staver tilføj som tilføl måske der skulle tjekkes lidt op på den oversættelse generelt. Under import der står tilføl vare til salg.",3,https://wordpress.org/support/topic/fin-pluginmen/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 5, 2022","Awesome, efficient support",Great support from WooCommerce that solved my issue!,5,https://wordpress.org/support/topic/awesome-efficient-support/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 2, 2022",Absolutely fantastic support,I had a problem with the format of a field on my checkout page. With the great support of the community it was customized to my preference in no time. The replies were super fast and  very professional. Absolutely fantastic support.,5,https://wordpress.org/support/topic/absolutely-fantastic-support-4/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 2, 2022",Really Great Support team,fast Support team.,5,https://wordpress.org/support/topic/really-great-support-team-2/,WooCommerce,.org Product Review,TBD,.org review harvester
"September 2, 2022",*click* Nice,"To keep it short:
– Short response time
– Polite and friendly
– Solved the problem
– Detailed explanation
– Provided additional information for self-study 
I like (thumbs up)",5,https://wordpress.org/support/topic/click-nice/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 30, 2022",Prompt support that solved my problem,"I had a problem with my WooCommerce store, so I asked for help in the support forum. The answer was prompt and it immediately solved my problem. Thank you for your help!",5,https://wordpress.org/support/topic/prompt-support-that-solved-my-problem/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 28, 2022",Professional customer service. Fast and good support.,"Hi,
Professional customer service. Fast and good support.
Thank you",5,https://wordpress.org/support/topic/professional-customer-service-fast-and-good-support/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 26, 2022","Great software, huge number of options, best support!","Title says it all!
A bog thank you to all members and developers of the WooCommerce team!",5,https://wordpress.org/support/topic/great-software-huge-number-of-options-best-support/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 26, 2022",The beating heart of our business,"Thanks all for building a great, open-source platform with full customization. It beats selling on Amazon etc. It’s not perfect, but it’s perfect for us.",5,https://wordpress.org/support/topic/the-beating-heart-of-our-business/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 25, 2022","It’s been nice knowing you, WooCommerce!","I’ve used WooCommerce for many years and I appreciate everything they have to offer in terms of out-of-the-box functionality. However, in recent times I have discovered Surecart.
Please do not take this as some sort of advertising for Surecart. The thing is, I have never taken my WooCommerce-driven websites to the next level due to the amount of money they require you to pay for added functionality. I can go on and on about drawbacks, but that is not why I am here. I am here to bid WooCommerce farewell as I am moving on to an option that better suits my personal needs.
It’s been nice working with you, WooCommerce!
PS — I am leaving you with a 5-star rating because I feel that you still deserve it!",5,https://wordpress.org/support/topic/its-been-nice-knowing-you-woocommerce/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 25, 2022",Great Support,Great support and Fast replies..,5,https://wordpress.org/support/topic/great-support-4397/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 23, 2022",Great support,Great support,5,https://wordpress.org/support/topic/great-support-4392/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 23, 2022",Fantastic helpdesk!,Unfortunately the problem is not solved yet because it appeared to be caused by a WordPress theme issue. But the helpdesk has put a lot of effort in finding the cause of the problem and has given fast response and perfect tips. A perfect helpdesk!,5,https://wordpress.org/support/topic/fantastic-helpdesk/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 19, 2022",great service,Quick support and very clear instructions how to fix what was broken.,5,https://wordpress.org/support/topic/great-service-446/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 19, 2022",Great support!!!,"I have been using WooCommerce for six years and am totally satisfied with this great plugin! The help I just received from their support went above and beyond! My problem was caused by a third party theme and was not related to their plugin, but they solved my problem anyway! Thank you!!",5,https://wordpress.org/support/topic/great-support-4388/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 18, 2022",Very good response time,I recommend to ask the support team if you have any questions.,5,https://wordpress.org/support/topic/very-good-response-time/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 18, 2022",Great pliguin,"Great,I set Up muy online store in 1 day. Here are my 5 dtars.
😁",5,https://wordpress.org/support/topic/great-pliguin/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 17, 2022",geht grade noch so,"Eigentlich nur ein Stern – Den Zusatzstern für “umsonst”
Einiges muss hinzugekauft werden um einen rechtsicheren, schnellen Shop zu erstellen. Auch multichannel und marketplace etc. ist noch nichtmal ansatzweise vorhanden.
Viele Plugins die ihr Geld nicht wert sind. Viel Abzocker mit hanebüchenem Support (Indien).",2,https://wordpress.org/support/topic/geht-grade-noch-so/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 15, 2022",Management and operations nightmare,"Only good for a tiny handful of products in a catalog.
Crazy design. When I say crazy I mean bat-whatever crazy. Products are blog posts, in the DB.
Huge productivity killer. Trivial operations take TONS of clicking and ETERNITY of waiting.
Quick edits never have important fields. Full edits take forever.
Category management is lacking trivial features like drag-and-drop parent-child relationship management that for example exists in WP menu editor.
Attribute and variable product pricing is HILARIOUS: variable products are all permutations of attribute values. Imagine products with several attributes of several values. You get to manage the product of these figures: 3x attributes of 10x values each will produce 1000 variable products, and all of them will have to be manually set up from scratch because nothing on them will be inherited from the main product.
Bottom line is that the developer clearly has no experience managing online stores and does not even have a clue of what we need. It’s obvious from the lack of focus on productivity.
And did I mention that WC is slow as hell? During my DB migrations I was able to insert 1/2 billion complex records, within the timespan of several hours. WC takes up to 20 seconds to insert 1 puny record, on a crazy overkill of hardware.",2,https://wordpress.org/support/topic/management-and-operations-nightmare/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 14, 2022",Great plugin & support,"I faced some problem for button colour(hover) for my account page but received fast response from the support team earlier.  
However,  I realise that I have additional similar issue for my account page and cart page.  So I created a new topic and got a fast response from the support team.  Many thanks for their help. 
However, I faced similar problem lately but was resolved after solution from their support team again. 
Highly recommend for this plugin.
	
		This topic was modified 1 year, 2 months ago by lightgal.
	
	
		This topic was modified 1 year, 2 months ago by lightgal.
	
	
		This topic was modified 11 months, 3 weeks ago by lightgal.",5,https://wordpress.org/support/topic/great-plugin-support-317/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 11, 2022",GREAT! AWESOME! THANKS!,GREAT! AWESOME! THANKS!,5,https://wordpress.org/support/topic/great-awesome-thanks/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 10, 2022",Great Plugin,"Great Plugin, nothing difficult to configure. 
Very useful!!",5,https://wordpress.org/support/topic/great-plugin-34793/,WooCommerce,.org Product Review,TBD,.org review harvester
"August 10, 2022",Great Plugin,My problem is solved!,5,https://wordpress.org/support/topic/great-plugin-34788/,WooCommerce,.org Product Review,TBD,.org review harvester
